repository_url,issue_number,title_processed,body_processed,label,label_cat,test_tag,valid
https://api.github.com/repos/SemBioProcess/SemGen,17,process participant multipliers need doubles not integers,data type process participant multipliers stoichiometries reaction double not int require code edits physical process java sem sim owlwriter sem sim owlreader least justification model creators integer stoichiometries reactions reason sbml supports double stoichiometries want able convert sbml models sem sim format process participant multipliers doubles,bug,bug,0,valid
https://api.github.com/repos/MegaMek/megamek,273,marauder ii sprite facing incorrect camo not applied,trying work making movie weapons sound fx sprite marauder ii not facing correct direction regards white facing arrow mm digitreplaced urlreplaced seen camo color error log color mini map ? using poprocks high quality camos less problematic leave unit color determination old versions going camo causing issues custom camos not cause problems though im blue princess red entity image apply functionreplaced failed grab pixels camo image null player name bloodwolf facing zip urlreplaced pathreplaced,bug,bug,0,valid
https://api.github.com/repos/eclipse/vorto,1809,open api generator generates invalid yml function blocks operation parameter,steps reproduce digitreplaced create information model using function block operations parameter digitreplaced generate open api yml digitreplaced open yml editor swagger io expected error actual generates request bodies content invalid according yml,bug,bug,0,valid
https://api.github.com/repos/JHUAPL/AccumuloGraph,9,map reduce element incorrecly implements writable comparable wrong type,currently implementing writable comparable map reduce vertex implement writable comparable map reduce element,bug,bug,0,valid
https://api.github.com/repos/spring-cloud/spring-cloud-netflix,673,enable oauth2sso work sprin clou security configure oauth digitreplaced client,using sprin clou starte parent version brixton digitreplaced test spring security oauth digitreplaced everything works fine enable eureka client enable eureka client reported error error failed execute goal org springframework boot sprin boo mave plugin digitreplaced digitreplaced digitreplaced release run defaul cli project sprin securit oauth digitreplaced brixto demo exception occured running null invocation target exception error creating bean name 'spring security filter chai defined class path resource pathreplaced security configuration class bean instantiation factory method failed nested exception org springframework beans bean instantiation exception failed instantiate javax servlet filter factory method 'spring security filter chai threw exception nested exception org springframework security config annotation built exception object built help digitreplaced maven pom xml codereplaced application java codereplaced resource server java codereplaced,bug,bug,0,valid
https://api.github.com/repos/wicketforge/wicketforge,146,exception latest digitreplaced eap,codereplaced original issue reported code google com codereplaced digitreplaced sep digitreplaced digitreplaced digitreplaced codereplaced,bug,bug,1,valid
https://api.github.com/repos/stefan-niedermann/nextcloud-deck,169,remote deleted labels kept application,describe bug delete labels server synchronous unassigned not deleted reproduce steps reproduce behavior digitreplaced delete labels server digitreplaced synchronous application expected behavior deleted labels unassigned check not proposed,bug,bug,0,valid
https://api.github.com/repos/bentocorp/android,142,blank box displaying android signup clicking box clears email,cn34owduwaa2xyj urlreplaced,bug,bug,0,valid
https://api.github.com/repos/MarcusWolschon/osmeditor4android,648,lock icon disappears unsuccessful authentication,vespucci version vespucci digitreplaced digitreplaced digitreplaced digitreplaced device manufacturer model samsung galaxy digitreplaced a300fu android version digitreplaced digitreplaced digitreplaced pathreplaced recreate digitreplaced try upload data osm server authorization digitreplaced error occurs slow connection timeout authentication handshake retry application return main screen digitreplaced lock icon missing digitreplaced repeat icon appears try disappears expected behaviour lock icon disappears crash dump submitted yes date potentially relevant information language cs cz screenshot datereplaced digitreplaced digitreplaced digitreplaced urlreplaced screenshot datereplaced digitreplaced digitreplaced digitreplaced urlreplaced,defect,bug,1,valid
https://api.github.com/repos/inaturalist/iNaturalistAndroid,225,project chooser show observation fields users tons projects,like need verify fields actually downloaded application not not failed request ? cancelled request backgrounding ?,bug,bug,0,valid
https://api.github.com/repos/lokka30/PhantomCombat,31,extra pathreplaced,pathreplaced target,bug,bug,0,valid
https://api.github.com/repos/CyclopsMC/IntegratedDynamics,166,squeezer automation exploit resulted null pointer exception,cannot digitreplaced certain course seems machine built attempt fully automate squeezer resulted persistent crash time start game machine urlreplaced weird issue machine working first switches attempted automate using logic cables give much details possible crash happened immediately destroyed switch position able reproduce twice creative digitreplaced cases logic cables device like pipes urlreplaced logic cables present switch top stops working activate piston reason related upper switch state pipes added switch destroyed game crashes nay freezes crash pathreplaced latest server crash report urlreplaced pathreplaced pathreplaced datereplaced digitreplaced digitreplaced digitreplaced server txt latest log urlreplaced pathreplaced pathreplaced,bug,bug,0,valid
https://api.github.com/repos/mett29/ing-sw-2018-lambertucci-losavio-mancassola,9,print scores match ends,currently match reaches end nothing happens,bug,bug,1,valid
https://api.github.com/repos/1908-aug19-java/Project2-Samuel-Chris-Kyle-BackEnd,11,reconfigured properties file added custom configuration file,issue issuereplaced application not able read systems environment variables ec digitreplaced not set connection running application added custom configuration class reads environment variables removed lines attempted application properties file solution tested working windows environment needs tested ec digitreplaced,bug,bug,0,valid
https://api.github.com/repos/Rajawali/Rajawali,993,inverted face culling,time trying rotate set look object according touch event master branch following code gives desired result face culling seems inverted touch screen first time surface created ? codereplaced wrong ? help codereplaced,bug,bug,1,valid
https://api.github.com/repos/imixs/imixs-workflow,396,rule plugin update event not set new items,update event method rule plugin not update new items provided event object codereplaced codereplaced,bug,bug,0,valid
https://api.github.com/repos/google/closure-compiler,3178,compiler crashes asynchronous function default argument compiling esnext es digitreplaced,sample code codereplaced crashes following error codereplaced,bug,bug,0,valid
https://api.github.com/repos/M66B/XPrivacy,1566,issue restrict whole category,found restrict whole category not work first attempt pathreplaced whole category checkbox fix behaviour happens functions unrestricted xprivacy pathreplaced ? new restrictions storage time unrestricted certain functions unrestricted entire category next time wanted restrict whole category new function open not restricted media function unrestricted found problem cannot reproduce application next time found application behaviour like said set pathreplaced entire category fix problem,bug,bug,1,valid
https://api.github.com/repos/dockstore/dockstore,2261,downloading plugins warning messages digitreplaced digitreplaced,bug report downloading file provisioning plugins drs gcs git hub warnings invalid cookie header despite warning downloads complete successfully additionally plugins hosted git hub oicr confusing message download happening http digitreplaced pathreplaced addition download happening urlreplaced behaviors happen production release steps reproduce behaviour codereplaced issue synchronized jira bug urlreplaced issue type bug fix versions dockstore digitreplaced digitreplaced sprint backlog issue number documents digitreplaced codereplaced,bug,bug,0,valid
https://api.github.com/repos/holodeck-b2b/Holodeck-B2B,64,unable start windows using long base path,path holodeck b2b installed long digitreplaced chars possible start server caused limitation windows length command line not exceed digitreplaced characters jars library directory individually included absolute path java classpath maximum exceeded hb2b home path long,bug,bug,0,valid
https://api.github.com/repos/ekylibre/zero-android,8,encoding error make fail data transmission ekylibre,pathreplaced codereplaced parameters codereplaced antoine thib ideas ?,bug,bug,1,valid
https://api.github.com/repos/BaseXdb/basex,703,disallow conversion java strings invalid xml characters,related issuereplaced java strings invalid xml characters rejected following digitreplaced xquery snippets currently acccepted raise errors create string single digitreplaced byte codereplaced read file single digitreplaced byte codereplaced,bug,bug,0,valid
https://api.github.com/repos/vector-im/riot-android,1750,emojis black rectangles,reported marmite digitreplaced matrix org urlreplaced,bug,bug,1,valid
https://api.github.com/repos/tzulberti/archery-training,68,order arrows digitreplaced,sorting arrows database codereplaced priority codereplaced,bug,bug,0,valid
https://api.github.com/repos/eugenkiss/chanobol,76,gallery view webm,first webms indicated gallery view click digitreplaced webm intent created totally missed case implemented current bar bones gallery view functionality post view class copy pasted abstracted furthermore onoptionsmenu actions adapted check ending webm mimetype set,bug,bug,0,valid
